QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,DTE,STRIKE,C_MID,RF_RATE
2022-08-26,405.31, 2022-12-30,126.04,425.0,12.39,0.0278
2022-10-28,388.97, 2022-11-18,21.04,485.0,0.005,0.039900000000000005
2021-12-13,466.71, 2021-12-31,18.0,423.0,43.705,0.0005
2020-07-23,322.96, 2020-08-21,29.0,335.0,2.145,0.0012
2022-10-04,377.8, 2023-06-16,255.0,660.0,0.09,0.0332
2022-07-18,381.99, 2022-08-15,28.0,449.0,0.025,0.024399999999999998
2022-10-27,380.17, 2023-02-17,113.04,285.0,98.895,0.0395
2022-08-16,429.69, 2022-09-23,38.0,397.0,35.504999999999995,0.026099999999999998
2020-06-11,300.69, 2020-06-19,8.0,251.0,49.955,0.0017000000000000001
2022-08-24,413.63, 2024-12-20,849.04,430.0,57.885000000000005,0.0273
2021-04-29,419.99, 2021-06-18,50.0,372.0,49.43,0.0001
2020-02-27,297.68, 2020-12-18,295.0,331.0,6.595,0.014199999999999999
2022-12-12,398.92, 2022-12-13,1.0,348.0,50.825,0.0429
2021-12-23,470.57, 2022-02-18,57.0,185.0,286.265,0.0008
2022-07-06,383.31, 2022-09-30,86.0,453.0,0.495,0.018500000000000003
2020-06-26,299.98, 2020-07-20,24.0,276.0,26.945,0.0014000000000000002
2022-09-01,396.39, 2022-09-21,20.0,330.0,66.67,0.0288
2020-10-08,343.65, 2020-12-18,71.04,220.0,124.175,0.0009
2022-06-07,415.69, 2022-06-17,10.0,645.0,0.005,0.0124
2021-02-10,390.09, 2021-07-16,155.96,323.0,72.995,0.0005
2020-07-21,324.9, 2021-01-15,178.04,95.0,230.15,0.0013
2020-03-26,261.14, 2020-03-31,5.0,346.0,0.005,-0.0005
2022-10-26,382.12, 2023-09-15,324.0,545.0,1.21,0.0394
2021-02-16,392.4, 2021-07-16,149.96,555.0,0.055,0.0004
2021-07-29,440.67, 2022-12-16,505.04,160.0,280.71500000000003,0.0006
2022-08-18,427.84, 2022-09-30,43.0,391.0,39.09,0.026099999999999998
2020-09-11,334.1, 2021-01-15,126.04,272.0,66.145,0.0011
2021-06-16,422.09, 2021-06-30,14.0,277.0,144.975,0.0004
2021-09-23,443.13, 2022-02-18,148.04,410.0,43.96,0.0003
2020-06-29,304.44, 2021-01-15,200.04,266.0,50.07,0.0014000000000000002
2022-10-26,382.12, 2022-11-21,26.04,396.0,5.045,0.0394
2020-10-15,347.54, 2021-05-21,218.0,359.0,16.95,0.0011
2020-03-09,274.48, 2020-06-30,113.0,331.0,1.875,0.0032
2022-10-21,374.3, 2022-12-30,70.04,489.0,0.0849999999999999,0.039
2020-05-21,294.84, 2020-06-15,25.0,274.0,23.265,0.0012
2020-12-23,367.57, 2021-06-30,188.96,445.0,0.6699999999999999,0.0009
2020-12-09,366.95, 2021-01-04,26.0,330.0,38.055,0.0008
2021-06-09,421.65, 2021-09-30,113.0,461.0,1.17,0.0003
2020-04-20,281.76, 2020-04-27,7.0,120.0,161.72500000000002,0.0012
2020-10-07,340.75, 2020-12-18,72.04,309.0,38.57,0.001
2022-12-05,399.58, 2022-12-15,10.0,401.0,5.915,0.042699999999999995
2021-06-17,421.89, 2021-07-14,27.0,425.0,3.145,0.0004
2021-01-28,377.63, 2021-02-08,11.0,397.0,0.13,0.0007000000000000001
2022-08-01,410.72, 2022-12-30,151.04,434.0,12.64,0.0248
2021-10-14,442.47, 2023-12-15,792.04,590.0,4.35,0.0005
2020-07-22,326.82, 2020-07-22,0.0,273.0,53.825,0.0013
2021-04-29,419.99, 2022-06-17,414.0,100.0,319.94,0.0001
2021-12-30,476.14, 2022-02-18,50.0,517.0,0.235,0.0005
2022-11-21,394.59, 2022-11-21,0.0,407.0,0.005,0.042300000000000004
2020-05-07,287.7, 2020-10-16,162.0,285.0,22.83,0.0011
2020-11-06,350.19, 2020-11-11,5.0,305.0,45.17,0.001
2021-03-19,389.47, 2022-12-16,637.04,360.0,59.2,0.0001
2022-03-23,443.84, 2022-03-28,5.0,467.0,0.015,0.005
2020-03-24,242.0, 2021-03-19,360.0,296.0,6.3100000000000005,0.0001
2020-04-22,279.04, 2020-04-24,2.0,190.0,89.155,0.0012
2021-04-14,411.5, 2023-03-17,702.0,515.0,6.62,0.0002
2022-05-27,415.31, 2022-06-10,14.0,510.0,0.005,0.0106
2021-07-14,436.29, 2021-12-17,156.04,462.0,5.48,0.0006
2021-07-13,435.72, 2021-07-30,17.0,457.0,0.055,0.0005
2020-04-14,283.8, 2020-04-20,6.0,145.0,138.885,0.002
2021-03-02,386.55, 2021-09-30,211.96,404.0,14.64,0.0004
2022-05-16,400.16, 2022-09-16,123.0,431.0,8.504999999999999,0.010700000000000001
2020-01-17,332.01, 2020-03-20,62.96,272.0,61.06,0.015300000000000001
2021-01-06,373.49, 2021-02-12,37.0,230.0,143.83499999999998,0.0009
2020-05-11,292.62, 2020-09-30,142.0,335.0,1.67,0.0012
2020-02-28,296.24, 2020-03-02,3.0,301.0,2.34,0.0125
2022-09-21,377.4, 2022-10-24,33.0,295.0,83.91,0.0321
2022-06-21,375.08, 2022-07-06,15.0,396.0,1.22,0.0166
2021-02-04,386.18, 2022-02-18,379.0,510.0,1.4449999999999998,0.0004
2020-07-10,317.62, 2020-07-17,7.0,248.0,69.82,0.0013
2020-08-24,342.89, 2020-09-09,16.0,195.0,147.555,0.0012
2020-09-04,342.52, 2020-10-07,33.0,353.0,4.035,0.0011
2021-04-08,408.48, 2022-02-18,316.04,280.0,130.945,0.0001
2020-03-27,254.0, 2020-11-20,238.04,266.0,20.265,0.0003
2022-10-20,365.52, 2022-12-16,57.04,441.0,0.355,0.0391
2020-02-20,336.99, 2020-03-20,28.96,364.0,0.015,0.0155
2020-12-15,369.59, 2021-03-31,105.96,345.0,32.54,0.0008
2020-06-16,312.95, 2020-07-02,16.0,276.0,36.615,0.0017000000000000001
2020-07-01,310.6, 2020-07-15,14.0,225.0,85.57,0.0014000000000000002
2022-06-09,401.48, 2022-09-16,99.0,367.0,43.42,0.0126
2021-08-24,447.96, 2021-09-30,37.0,370.0,78.305,0.0005
2022-06-08,411.28, 2022-07-01,23.0,448.0,0.185,0.0125
2021-10-29,459.22, 2021-12-10,42.04,479.0,0.8200000000000001,0.0005
2020-04-30,290.26, 2020-05-18,18.0,287.0,9.72,0.0009
2021-05-12,405.57, 2021-06-04,23.0,429.0,0.535,0.0002
2020-02-04,329.06, 2020-02-14,10.0,292.5,36.790000000000006,0.0154
2022-06-09,401.48, 2022-08-19,71.0,585.0,0.01,0.0126
2020-05-06,284.37, 2021-03-19,317.0,279.0,31.57,0.0012
2020-02-12,337.44, 2020-06-19,127.96,317.0,25.86,0.0155
2021-02-12,392.73, 2021-06-30,137.96,352.0,49.055,0.0004
2021-10-20,452.39, 2023-06-16,604.0,630.0,1.38,0.0005
2022-09-20,384.16, 2022-10-19,29.0,428.0,0.325,0.0326
2022-10-14,357.66, 2022-12-30,77.04,160.0,198.38,0.0365
2020-12-21,367.65, 2021-03-19,87.96,201.0,167.495,0.0009
2020-01-31,321.75, 2020-02-03,3.0,333.0,0.0,0.0152
2020-08-28,350.57, 2020-09-25,28.0,322.0,29.895,0.001
2021-09-15,447.88, 2021-09-27,12.0,295.0,152.865,0.0004
2021-03-02,386.55, 2021-12-31,304.0,404.0,19.12,0.0004
2021-04-22,412.35, 2021-12-17,239.04,400.0,31.245,0.0003
2020-02-20,336.99, 2020-09-30,222.96,385.0,0.535,0.0155
2020-06-12,304.33, 2020-06-17,5.0,160.0,144.365,0.0016
2021-12-21,463.01, 2023-01-20,395.0,295.0,173.225,0.0007000000000000001
2021-11-15,467.47, 2022-01-21,67.0,570.0,0.015,0.0005
2021-12-08,469.54, 2021-12-08,0.0,477.0,0.005,0.0007000000000000001
2020-10-08,343.65, 2021-12-17,435.04,357.0,24.76,0.0009
2021-05-13,410.27, 2022-02-18,281.04,205.0,205.7,0.0002
2020-02-06,333.93, 2020-11-20,288.0,336.0,16.035,0.0154
2021-09-08,450.97, 2022-06-30,295.0,462.0,21.42,0.0005
2020-08-14,336.85, 2020-12-18,126.04,310.0,36.44499999999999,0.001
2022-07-22,395.1, 2023-09-15,420.0,195.0,203.84,0.0241
2021-06-08,422.27, 2022-03-31,296.0,454.0,9.405,0.0002
2020-10-16,347.24, 2021-03-31,166.0,370.0,9.4,0.0011
2020-11-10,354.07, 2020-12-04,24.0,312.0,42.935,0.001
2022-02-11,440.47, 2023-03-17,398.96,190.0,251.035,0.0037
2022-09-07,397.79, 2024-01-19,499.04,365.0,68.55,0.0298
2021-06-04,422.56, 2022-06-17,378.0,205.0,217.58,0.0002
2020-03-05,302.51, 2020-04-17,42.96,247.0,57.67,0.0060999999999999995
2022-11-18,396.14, 2023-12-15,392.0,665.0,0.155,0.0415
2022-04-12,438.29, 2022-04-25,13.0,528.0,0.005,0.0074
2021-11-16,469.17, 2021-11-19,3.0,585.0,0.005,0.0005
2021-10-22,453.15, 2021-11-03,12.0,433.0,20.585,0.0006
2021-11-26,458.97, 2022-01-21,56.0,508.0,0.31,0.0006
2022-06-08,411.28, 2022-06-15,7.0,450.0,0.015,0.0125
2022-09-15,390.15, 2022-12-16,92.04,605.0,0.01,0.031200000000000002
2020-01-03,322.43, 2021-09-17,622.96,290.0,49.125,0.0149
2020-01-30,327.62, 2020-02-05,6.0,303.0,24.89,0.0154
2021-10-29,459.22, 2021-11-01,3.0,495.0,0.005,0.0005
2020-08-17,337.9, 2020-08-26,9.0,331.0,8.01,0.001
2020-04-02,251.99, 2020-04-06,4.0,301.0,0.01,0.0009
2022-10-11,357.76, 2022-10-28,17.0,295.0,63.385000000000005,0.0353
2021-09-14,444.19, 2021-09-30,16.0,339.0,104.865,0.0004
2022-01-27,431.16, 2022-03-31,62.96,458.0,4.6,0.002
2020-12-29,371.57, 2021-06-18,170.96,267.0,107.5,0.001
2020-07-30,323.96, 2021-03-31,244.0,238.0,90.6,0.0009
2022-03-04,432.25, 2023-12-15,651.0,415.0,62.815,0.0033
2020-10-26,339.52, 2021-03-31,156.0,231.0,110.26,0.0011
2020-09-15,340.12, 2020-09-18,3.0,246.0,94.13,0.0011
2022-10-04,377.8, 2022-10-26,22.0,414.0,0.445,0.0332
2022-07-11,384.33, 2022-07-25,14.0,392.0,3.295,0.0213
2022-02-23,421.97, 2022-06-30,126.96,406.0,33.545,0.0036
2022-07-01,381.2, 2022-07-15,14.0,393.0,2.395,0.0166
2021-09-20,434.01, 2024-01-19,851.04,480.0,29.125,0.0004
2020-06-16,312.95, 2020-11-20,157.04,278.0,45.785,0.0017000000000000001
2020-11-03,335.91, 2021-01-15,73.0,342.0,12.05,0.001
2020-04-03,247.95, 2020-04-15,12.0,180.0,68.16,0.001
2020-05-01,282.83, 2020-05-11,10.0,235.0,47.935,0.0012
2020-09-25,328.68, 2021-03-19,175.0,268.0,68.025,0.001
2020-04-24,282.89, 2020-09-30,159.0,371.0,0.28,0.0012
2021-08-02,437.6, 2021-08-23,21.0,310.0,127.66,0.0005
2022-12-09,393.29, 2022-12-09,0.0,396.0,0.005,0.04190000000000001
2022-08-02,408.13, 2022-08-19,17.0,461.0,0.015,0.0248
2020-10-05,339.75, 2021-03-19,165.0,203.0,137.89,0.001
2021-05-10,417.91, 2021-05-24,14.0,422.0,2.525,0.0002
2021-06-29,427.69, 2022-02-18,234.04,382.0,55.615,0.0004
2022-09-19,388.54, 2022-09-26,7.0,448.0,0.01,0.0329
2022-05-09,398.33, 2022-12-16,221.04,385.0,41.88,0.0092
2021-09-22,437.78, 2021-11-19,58.04,334.0,104.845,0.0003
2022-08-19,422.14, 2023-03-31,224.0,437.0,23.03,0.0264
2020-05-08,292.51, 2020-06-30,53.0,264.0,32.41,0.0012
2021-11-11,463.81, 2024-01-19,799.0,390.0,100.75,0.0012
2021-07-19,424.93, 2021-07-23,4.0,467.0,0.005,0.0005
2021-10-08,437.83, 2022-09-16,343.0,394.0,62.565,0.0005
2022-06-02,417.37, 2022-06-15,13.0,490.0,0.005,0.0113
2021-05-26,419.02, 2021-06-02,7.0,382.0,37.115,0.0002
2021-08-11,443.73, 2022-06-17,310.0,412.0,49.305,0.0005
2020-10-30,326.74, 2020-11-06,7.04,372.0,0.02,0.0009
2021-07-15,434.65, 2021-08-04,20.0,459.0,0.045,0.0005
2022-10-25,384.81, 2022-11-04,10.0,285.0,99.99,0.0397
2022-08-08,413.01, 2022-08-19,11.0,338.0,75.39500000000001,0.025699999999999997
2021-09-15,447.88, 2021-10-18,33.0,424.0,25.245,0.0004
2022-09-12,410.94, 2022-09-19,7.0,357.0,53.695,0.030899999999999997
2022-06-03,410.59, 2022-06-15,12.0,444.0,0.065,0.011699999999999999
2020-12-21,367.65, 2021-01-04,14.0,450.0,0.01,0.0009
2022-08-31,395.13, 2022-09-14,14.0,485.0,0.01,0.0287
2022-10-25,384.81, 2022-12-16,52.04,700.0,0.005,0.0397
2020-03-10,288.39, 2021-12-17,647.04,100.0,188.0,0.0043
2022-02-15,445.94, 2022-09-30,226.96,425.0,42.855,0.0040999999999999995
2022-06-01,409.64, 2022-06-08,7.0,450.0,0.015,0.011200000000000002
2021-06-10,423.61, 2022-06-17,372.0,630.0,0.15,0.0003
2021-09-20,434.01, 2022-12-16,452.04,450.0,29.115,0.0004
2021-02-19,390.03, 2022-12-16,665.0,210.0,181.735,0.0004
2021-07-07,434.5, 2021-07-26,19.0,475.0,0.015,0.0005
2022-09-21,377.4, 2023-06-16,268.0,407.0,21.225,0.0321
2021-10-14,442.47, 2021-10-20,6.0,443.0,2.28,0.0005
2020-03-25,246.79, 2020-06-19,86.0,361.0,0.13,-0.0004
2020-05-11,292.62, 2020-06-05,25.0,318.0,0.21,0.0012
2021-12-13,466.71, 2021-12-23,10.0,350.0,115.79,0.0005
2021-11-09,467.38, 2021-11-26,17.0,506.0,0.015,0.0004
2022-07-22,395.1, 2022-08-19,28.0,437.0,0.195,0.0241
2021-11-09,467.38, 2024-01-19,801.0,495.0,37.5,0.0004
2021-04-19,415.24, 2021-10-15,179.0,452.0,4.234999999999999,0.0002
2021-12-16,466.42, 2023-03-17,455.96,665.0,0.685,0.0005
2021-06-24,425.1, 2021-10-15,113.0,307.0,119.16,0.0005
2022-07-27,401.01, 2022-08-24,28.0,399.0,10.5,0.023700000000000002
2021-12-09,466.35, 2022-06-17,189.96,680.0,0.0349999999999999,0.0006
2021-02-16,392.4, 2021-07-16,149.96,377.0,30.7,0.0004
2021-10-04,428.7, 2021-11-05,32.0,402.0,30.39,0.0004
2021-10-13,435.18, 2021-11-10,28.04,413.0,24.545,0.0005
2020-04-03,247.95, 2020-12-18,259.04,115.0,133.47,0.001
2020-03-18,241.23, 2020-09-18,184.0,334.0,0.95,0.0002
2022-08-24,413.63, 2022-11-18,86.04,375.0,45.57,0.0273
2020-06-12,304.33, 2020-06-19,7.0,80.0,224.425,0.0016
2020-06-26,299.98, 2021-03-19,266.0,231.0,77.535,0.0014000000000000002
2020-09-04,342.52, 2020-09-14,10.0,327.0,17.535,0.0011
2020-03-30,261.56, 2020-04-29,30.0,200.0,63.58,0.0012
2021-12-29,477.48, 2022-03-18,78.96,265.0,213.18,0.0005
2020-06-09,320.94, 2020-07-10,31.0,320.0,8.355,0.0019
2022-11-08,382.0, 2023-03-31,142.96,489.0,0.42,0.040999999999999995
2020-12-01,365.97, 2021-09-17,289.96,339.0,42.84,0.0009
2022-12-05,399.58, 2022-12-07,2.0,372.0,28.095,0.042699999999999995
2022-04-28,427.86, 2022-05-11,13.0,396.0,33.185,0.008100000000000001
2021-11-26,458.97, 2021-12-17,21.0,397.0,62.205,0.0006
2020-11-20,355.34, 2020-11-30,10.0,372.0,0.12,0.0007000000000000001
2020-09-11,334.1, 2021-01-15,126.04,244.0,91.6,0.0011
2021-09-13,446.56, 2022-09-16,368.0,395.0,68.91,0.0006
2022-01-12,470.96, 2022-01-14,2.0,520.0,0.005,0.0012
2020-12-18,369.23, 2021-09-17,272.96,365.0,28.45,0.0008
2021-03-23,389.59, 2021-04-07,15.0,260.0,129.67000000000002,0.0001
2022-02-04,448.6, 2022-02-23,19.0,380.0,69.185,0.0023
2020-08-18,338.58, 2021-03-31,225.0,230.0,110.675,0.0009
2021-01-14,378.45, 2021-02-26,43.0,270.0,108.84,0.0009
2022-04-27,417.21, 2022-12-16,233.04,315.0,110.875,0.008199999999999999
2022-02-25,437.66, 2023-01-20,329.0,705.0,0.4,0.0033
2021-07-19,424.93, 2021-07-23,4.0,245.0,179.47,0.0005
2021-08-26,446.33, 2022-03-18,204.0,383.0,70.895,0.0005
2022-11-08,382.0, 2023-06-30,233.96,409.0,19.95,0.040999999999999995
2020-07-22,326.82, 2020-10-16,86.0,200.0,127.355,0.0013
2020-11-05,350.21, 2020-12-18,43.0,359.0,6.665,0.001
2021-09-10,445.52, 2021-12-17,98.04,420.0,33.555,0.0005
2022-08-10,419.95, 2022-08-17,7.0,386.0,34.035,0.0256
2021-08-03,441.17, 2023-01-20,535.04,645.0,0.3399999999999999,0.0005
2022-04-14,437.94, 2024-12-20,981.04,410.0,87.345,0.0078000000000000005
2022-02-21,434.23, 2022-03-04,11.0,384.0,51.205,0.0078000000000000005
2021-08-04,439.02, 2023-06-16,681.0,260.0,181.0,0.0005
2020-01-17,332.01, 2020-09-30,256.96,395.0,0.205,0.015300000000000001
2020-04-21,273.11, 2020-06-30,70.0,130.0,143.25,0.0011
2022-05-19,389.46, 2023-03-17,302.0,235.0,158.92,0.0104
2021-09-29,434.37, 2021-11-05,37.0,396.0,41.41,0.0004
2021-04-26,417.65, 2021-09-30,157.0,373.0,51.665,0.0003
2022-02-18,434.16, 2022-02-23,5.0,409.0,25.31,0.0034999999999999996
2021-03-08,381.73, 2021-03-17,8.96,423.0,0.015,0.0005
2021-03-17,397.24, 2021-04-09,23.0,412.5,0.635,0.0002
2021-02-16,392.4, 2021-03-31,42.96,400.0,4.875,0.0004
2021-04-28,417.39, 2021-09-17,142.0,555.0,0.05,0.0001
2022-02-28,436.52, 2022-09-30,213.96,469.0,12.065,0.0037
